filenum,kk,time kk,std rand,time srand,std hill,time shill,std simAnneal,time sanneal,part rand,time prand,part hill,time phill,part simAnneal,time psim
0,49819,0.001245975,174844689,2.863362074,108435467,0.658537865,24211155,0.685456991,13,43.11499214,97,33.8329699,81,33.06723905
1,327372,0.000510216,494182132,2.40260005,548131442,0.59995079,160832750,0.699062109,48,37.01962185,66,33.15302205,190,32.52287412
2,29402,0.000663996,117605482,2.371186972,14177274,0.604577065,27667752,0.684231043,30,35.73542094,480,32.15348005,122,33.27644086
3,228272,0.000674963,553684094,2.466428041,345803404,0.646760941,245289618,0.665737867,68,37.58889008,350,34.38864493,34,33.29060602
4,2707,0.000537157,173599105,2.493535042,223778839,0.62325716,1282726473,0.64178586,43,38.36059904,139,32.37341499,341,36.38841915
5,138227,0.000649929,6612251,2.424032927,10198743,0.619172812,33425551,0.65813899,19,37.56721306,61,32.55286193,33,32.32112408
6,934972,0.000579834,270182354,2.537348986,178901304,0.636693954,59968822,0.672899008,74,36.77672982,54,31.722754,132,33.24254203
7,122242,0.00058794,385211686,2.479413986,19097018,0.635290146,116762786,0.674258947,202,38.45505595,216,31.12146497,54,30.52125382
8,92622,0.00065589,279454976,2.364423037,60708526,0.595237017,402194552,0.639669895,118,34.75736713,96,30.21562409,238,30.40240788
9,170101,0.000656128,157370305,2.371248007,103753915,0.591310978,99828117,0.649688959,253,34.74869895,311,30.37140083,25,30.451123
10,66264,0.000488997,132469316,2.388993979,205138570,0.602706909,384634948,0.654254913,64,35.09372401,178,30.43461704,162,30.46729898
11,98917,0.000504971,47963213,2.251034021,97687657,0.557943106,746972055,0.614554882,27,34.40360498,269,30.3203361,97,30.30223417
12,263555,0.000497818,187719357,2.2526021,63722245,0.562475204,65060147,0.610882044,379,35.25694394,67,34.46121597,111,33.29059887
13,150633,0.000560999,675739089,2.434616089,232440493,0.579229116,311303449,0.631695986,75,35.17057395,577,29.96990395,63,31.06925392
14,39975,0.00051403,566708767,2.306486845,12794445,0.573689938,260928887,0.615796089,61,36.089849,15,31.11660385,155,34.7259109
15,825171,0.000760078,248929405,2.56801796,45044751,0.621587038,155875595,0.670461178,457,34.30576205,71,29.68247795,121,29.63601494
16,227209,0.000653028,1233333753,2.322659016,305404293,0.569936991,548037941,0.643707037,5,34.29725504,25,29.90159011,77,29.97743797
17,1682074,0.000649214,256537692,2.346343994,231184922,0.579890966,364133812,0.649729967,60,34.022542,208,29.60427213,70,29.69718885
18,421228,0.000661135,49875058,2.321658134,190138456,0.603166103,158595874,0.639509916,58,34.12180805,18,29.68934822,102,29.77493715
19,46204,0.000653982,467207264,2.313841105,337193654,0.582609177,293250410,0.635559082,104,34.16269803,16,29.72886419,160,29.70212197
20,16687,0.000653982,340701341,2.325011015,156871055,0.576081991,147107641,0.640573025,117,34.07207394,163,29.73849082,81,29.63938999
21,14991,0.000638008,232114153,2.302433968,68823271,0.59175086,191686855,0.636780024,55,34.1226089,141,29.90516496,65,29.69675303
22,40622,0.000490904,558425250,2.317357063,556606872,0.573987961,46688676,0.637933969,270,34.124897,372,29.72142696,152,29.68531609
23,521698,0.000503063,190691166,2.325389147,557221520,0.595451117,183277402,0.63455081,100,34.00468516,76,29.75980902,38,29.88475609
